type, province, city, district, name, address, lng, lat
060400,河北省,廊坊市,安次区,吉模夫商贸生鲜超市(北昌店),北史家务乡金光西道北昌·西队新苑旁,116.673704,39.517549
060400,河北省,廊坊市,安次区,惠联惠超市,中孟北路东50米,116.736299,39.492337
060400,河北省,廊坊市,安次区,廊坊美购超市(光明西道店),光明西道106号,116.694472,39.513207
060400,河北省,廊坊市,安次区,大杨树超市,祖各庄村南口,116.678290,39.498361
060400,河北省,廊坊市,安次区,致诚百货,兴安市场西北80米(银河南路西),116.697345,39.509417
060400,河北省,廊坊市,安次区,祥和顺百货,中孟北路西150米,116.734380,39.492647
060400,河北省,廊坊市,安次区,辰辰超市,爱民西道83号西侧,116.675994,39.522467
060400,河北省,廊坊市,安次区,汇鲜果蔬生活超市,豪邸坊北门底商,116.702456,39.512157
060400,河北省,廊坊市,安次区,宾堡惠生活超市,建设南路299号,116.719524,39.499506
060400,河北省,廊坊市,安次区,文举百货,兴安市场8栋西a区10号,116.696306,39.508506
060400,河北省,廊坊市,安次区,同旺超市,杨税务乡大北市村,116.618841,39.454986
060400,河北省,廊坊市,安次区,腾旭隆超市,410乡道东50米,116.774331,39.173909
060400,河北省,廊坊市,安次区,运涛超市,龙河工业园区王常甫村,116.707223,39.477619
060400,河北省,廊坊市,安次区,新苑超市(永华道),永华道新苑小区门口,116.695646,39.504178
060400,河北省,廊坊市,安次区,荣升轩超市,廊霸路90号,116.687678,39.473014
060400,河北省,廊坊市,安次区,新儒苑中心超市,光明西道街道光明西道西小区育英路80-8号,116.671849,39.520655
060400,河北省,廊坊市,安次区,鑫千祥超市,东沽港五村码杨线福苑小区南,116.842609,39.175317
060400,河北省,廊坊市,安次区,利客来购物中心,码头镇农行对面,116.775119,39.301125
060400,河北省,廊坊市,安次区,金祥副食超市,育才路128号,116.675068,39.510409
120302,河北省,廊坊市,安次区,馨视界,爱民西路172号,116.655145,39.522205
120302,河北省,廊坊市,安次区,盛德花园,永华道133号,116.689499,39.502326
120302,河北省,廊坊市,安次区,盛世豪庭(永兴路),永兴路89号,116.68631,39.509214
120302,河北省,廊坊市,安次区,江南水郡,迎宾大道与西外环交叉口北侧,116.662813,39.513504
120302,河北省,廊坊市,安次区,南苑小区,银河南路146号,116.696049,39.501652
120302,河北省,廊坊市,安次区,阳光逸墅,建设南路与南外环西北角,116.71658,39.496056
120302,河北省,廊坊市,安次区,龙河盛都,瑞丰道9号,116.712595,39.495432
120302,河北省,廊坊市,安次区,新苑小区(永华道),永华道107号,116.696126,39.503097
120302,河北省,廊坊市,安次区,君兰苑,爱民西道以北新源水厂北侧,116.654915,39.524332
120302,河北省,廊坊市,安次区,前锋小区(常甫路),常甫路93号,116.710438,39.500173
120302,河北省,廊坊市,安次区,金源丽舍,荣开街10号,116.657364,39.524964
120302,河北省,廊坊市,安次区,安泰家园,永兴路与长安路交汇处附近,116.684246,39.505638
120302,河北省,廊坊市,安次区,豪邸坊,银河南路与光明西道交口(廊坊市长途车站附近),116.701254,39.511141
120302,河北省,廊坊市,安次区,常青家园,金光道民心桥西路,116.690842,39.518248
120302,河北省,廊坊市,安次区,万和嘉苑,银河南路119号,116.699425,39.503091
120302,河北省,廊坊市,安次区,文苑小区(爱民西道),爱民西道131号,116.667208,39.521089
120302,河北省,廊坊市,安次区,嘉多丽花园,常甫路47号,116.708679,39.503666
